genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Thermococcus eurythermalis,1505907,A501,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000769655.1,53.5,2.1,KJ616741,66.0,50.0,85.0,,,100.0,50.0
Thermococcus kodakarensis,311400,KOD1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000009965.1,52.0,2.1,D38650,66.0,60.0,85.0,,,100.0,40.0
Thermococcus hydrothermalis,46539,AL662,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,58.0,,Z70244,65.4,55.0,85.0,,,100.0,45.0
Fervidobacterium pennivorans,93466,Ven 5,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000235405.3,38.9,2.2,NR_074097,61.3,50.0,80.0,,,100.0,50.0
Pyrobaculum calidifontis,181486,VA1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,51.0,,AB078332,67.8,75.0,92.5,90.0,95.0,100.0,25.0
Thermococcus peptonophilus,53952,OG-1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001592435.1,51.7,1.9,D37982,65.8,60.0,87.5,85.0,90.0,100.0,40.0
Staphylothermus marinus,2280,F1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,GCA_000015945.1,35.7,1.6,X99560,67.4,65.0,92.0,,,98.0,33.0
Ignicoccus hospitalis,160233, KIN4/I,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,GCA_000017945.1,56.5,1.3,AJ318042,67.7,73.0,90.0,,,98.0,25.0
Ignicoccus pacificus,114376,LPC33,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,,45.0,,AJ271794,67.0,75.0,90.0,,,98.0,23.0
Ignicoccus islandicus,54259,Kol8,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,GCA_001481685.1,44.9,1.4,X99562,66.5,70.0,90.0,,,98.0,28.0
Thermodiscus maritimus,54250,S2,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermodiscus,,49.0,,X99554,67.2,75.0,90.0,,,98.0,23.0
Thermococcus litoralis,2265,NS-C,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000246985.3,43.1,2.2,Z70252,65.4,55.0,85.0,,,98.0,43.0
Ignisphaera aggregans,334771,AQ1.S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,,52.9,,DQ060321,66.0,85.0,93.5,92.0,95.0,98.0,13.0
Pyrobaculum ferrireducens,1104324,1860,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000234805.1,57.0,2.5,CP003098,68.0,75.0,92.5,90.0,95.0,98.0,23.0
Vulcanisaeta moutnovskia,985052,768-28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,GCA_000190315.1,42.4,2.3,AY350589,65.8,60.0,82.5,80.0,85.0,98.0,38.0
Methanothermus sociabilis,2181,Kf1-F1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,,33.0,,NR_104879,64.1,55.0,88.0,,,97.0,42.0
Aeropyrum camini,229980,SY1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,GCA_000591035.1,56.7,1.6,AB109559,65.8,70.0,85.0,,,97.0,27.0
Methanothermus fervidus,2180,V24S,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,GCA_000166095.1,31.6,1.2,NR_102926,64.0,65.0,83.0,,,97.0,32.0
Pyrobaculum oguniense,99007,TE7,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,48.0,,AB029339,67.9,70.0,92.0,90.0,94.0,97.0,27.0
Hyperthermus hephaesti,1227648,Ro04,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,,,,JX227922,67.9,82.0,91.0,90.0,92.0,97.0,15.0
Pyrodictium delaneyi,1273541,Su06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,GCA_001412615.1,53.9,2.0,CP013011,68.9,82.0,91.0,90.0,92.0,97.0,15.0
Desulfurococcus amylolyticus,94694,Z-533,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,GCA_000231015.3,44.8,1.4,NR_104706,65.5,68.0,91.0,90.0,92.0,97.0,29.0
Acidianus infernus,12915,So4a ,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,31.0,,D85505,64.0,65.0,90.0,,,96.0,31.0
Thermoproteus tenax,2271,Kra 1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,GCA_000253055.1,55.1,1.8,AY538162,67.6,85.0,90.0,,,96.0,11.0
Pyrobaculum igneiluti,1806371,521,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,,,KU720559,67.9,75.0,90.0,,,95.0,20.0
Thermococcus radiotolerans,187880,EJ2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214565.1,55.6,1.9,AF479013,65.3,55.0,88.0,,,95.0,40.0
Thermococcus marinus,187879,EJ1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,52.3,,AF479012,65.8,55.0,88.0,,,95.0,40.0
Thermococcus gammatolerans,187878,EJ3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000022365.1,53.6,2.0,AF479014,66.3,55.0,88.0,,,95.0,40.0
Thermococcus nautili,195522,43860,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000585495.1,54.8,2.0,AY099161,66.4,55.0,87.5,,,95.0,40.0
Sulfophobococcus zilligii,53426,K1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Sulfophobococcus,,54.7,,X98064,67.1,70.0,87.0,,,95.0,25.0
Aquifex pyrophilus,2714,Kol5a,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,,47.3,,M83548,64.9,67.0,85.0,,,95.0,28.0
Sulfolobus tengchongensis,207809,RT8-4,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,,34.4,,AY135637,61.3,65.0,85.0,,,95.0,30.0
Thermococcus atlanticus,155321,MA898,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.0,,AJ310754,65.5,70.0,85.0,,,95.0,25.0
Thermococcus barophilus,55802,MP,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000151105.2,41.7,2.1,U82237,66.3,48.0,85.0,,,95.0,47.0
Ferroglobus placidus,54261,AEDII12DO ,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,GCA_000025505.1,44.1,2.2,AF220166,65.9,65.0,85.0,,,95.0,30.0
Thermogladius calderae,1200300,1633,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,GCA_000264495.1,55.6,1.4,CP003531,66.6,80.0,84.0,,,95.0,15.0
Thermococcus prieurii,1128108,Bio-pl-0405IT2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.6,,FN396976,65.9,60.0,80.0,,,95.0,35.0
Sulfolobus yangmingensis,73007,YM1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,,42.0,,AB010957,63.9,65.0,80.0,,,95.0,30.0
Thermococcus piezophilus,1712654,CDGS,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001647085.1,51.1,1.9,LN878294,65.8,60.0,75.0,,,95.0,35.0
Thermococcus aegaeus,84597,P5,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,45.0,,AJ012643,65.2,50.0,89.0,88.0,90.0,95.0,45.0
Thermococcus pacificus,71998,P-4,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214485.1,54.2,1.8,Y16227,55.2,70.0,84.0,80.0,88.0,95.0,25.0
Thermococcus gorgonarius,71997,W-12,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214385.1,51.7,1.7,Y16226,55.7,68.0,84.0,80.0,88.0,95.0,27.0
Thermococcus cleftensis,163003,CL1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000265525.1,55.8,2.0,CP003651,65.8,55.0,88.0,,,94.0,39.0
Thermococcus aggregans,110163,TY,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42.0,,Y08384,64.9,60.0,88.0,,,94.0,34.0
Thermococcus stetteri,49900,K-3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.2,,Z75240,65.8,55.0,75.0,,,94.0,39.0
Thermococcus thioreducens,277988,OGL-20P,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214545.1,53.5,2.1,AF394925,65.6,55.0,84.0,83.0,85.0,94.0,39.0
Saccharolobus caldissimus,1702097,HS-3,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,,31.7,,LC275065,64.0,65.0,85.0,,,93.0,28.0
Thermococcus siculi,72803,RG-20,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214505.1,55.0,2.0,AB055126,66.0,50.0,85.0,,,93.0,43.0
Thermococcus acidaminovorans,71280,AEDII10,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,49.0,,AB055120,65.8,56.0,85.0,,,93.0,37.0
Thermococcus chitonophagus,54262,GC74,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_900012635.1,44.9,2.0,AY099175,66.6,60.0,85.0,,,93.0,33.0
Thermogladius shockii,477696,WB1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,,51.3,,EU183120,66.5,64.0,84.0,,,93.0,29.0
Vulcanisaeta distributa,164451,IC-017,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,GCA_000148385.1,45.4,2.4,AB063630,67.1,70.0,90.0,,,92.0,22.0
Acidilobus aceticus,105851,1904,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,53.8,,AF191225,66.1,60.0,85.0,,,92.0,32.0
Methanocaldococcus fervens,83171,AG8G ,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000023985.1,32.2,1.5,AF056938,64.7,48.0,85.0,,,92.0,44.0
Caldivirga maquilingensis,76887,IC-167,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,GCA_000018305.1,43.1,2.1,AB013926,65.7,60.0,85.0,,,92.0,32.0
Sulfurisphaera ohwakuensis,69656,TA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,GCA_009729055.1,32.7,2.8,D85507,63.9,63.0,84.0,,,92.0,29.0
Thermococcus barossii,54077,SHCK-94,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214465.1,54.7,1.9,AY099173,66.0,60.0,82.5,,,92.0,32.0
Thermosulfurimonas dismutans,999894,S95,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas,,52.0,,JF346116,63.3,50.0,74.0,,,92.0,42.0
Methanotorris igneus,2189,Kol 5,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,GCA_000214415.1,32.3,1.9,M59125,59.0,45.0,88.0,,,91.0,46.0
Thermococcus paralvinellae,582419,ES1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000517445.1,40.3,2.0,CP006965,65.8,50.0,82.0,,,91.0,41.0
Geoglobus ahangari,113653,234,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,GCA_001006045.1,53.1,1.8,AF220165,64.5,65.0,88.0,,,90.0,25.0
Thermococcus guaymasensis,110164,TYS ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000816105.1,52.9,1.9,Y08385,65.5,56.0,88.0,,,90.0,34.0
Thermococcus coalescens,227597,TS1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.9,,AB107767,65.8,57.0,87.0,,,90.0,33.0
Thermofilum uzonense,1550241,1807-2,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,GCA_000993805.1,47.9,1.6,CP009961,65.4,70.0,85.0,,,90.0,20.0
Vulcanisaeta thermophila,867917,CBA1501,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,,43.1,,HM594677,67.3,75.0,85.0,,,90.0,15.0
Thermoproteus thermophilus,867916,CBA1502,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,,62.0,,HM594678,68.3,75.0,85.0,,,90.0,15.0
Thermococcus alcaliphilus,139207,AEDII12 ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42.0,,AB055121,65.8,56.0,85.0,,,90.0,34.0
Thermococcus waiotapuensis,90909,WT1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.4,,AB055127,65.8,60.0,85.0,,,90.0,30.0
Staphylothermus hellenicus,84599,P8,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,GCA_000092465.1,36.8,1.6,AJ012645,66.8,70.0,85.0,,,90.0,20.0
Thermosphaera aggregans,54254,M11TL,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,GCA_000092185.1,46.7,1.3,X99556,67.0,65.0,85.0,,,90.0,25.0
Thermodesulfobacterium geofontis,1295609,OPF15 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000215975.1,30.6,1.6,NR_118457,61.9,70.0,83.0,,,90.0,20.0
Archaeoglobus fulgidus,2234,VC-16,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000008665.1,48.6,2.2,X05567,63.9,60.0,83.0,,,90.0,30.0
Methanocaldococcus bathoardescens,1301915,JH146,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000739065.1,30.8,1.6,CP009149,64.6,58.0,82.0,,,90.0,32.0
Archaeoglobus profundus,84156,AV18,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000025285.1,42.0,1.6,NR_028937,65.1,65.0,82.0,,,90.0,25.0
Thermotoga neapolitana,2337,NS-E,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000018945.1,46.9,1.9,NR_074959,64.0,55.0,80.0,,,90.0,35.0
Thermotoga maritima,2336,MSB8 ,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000230655.3,46.2,1.9,M21774,63.6,55.0,80.0,,,90.0,35.0
Palaeococcus pacificus,971279,DY20341,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,GCA_000725425.1,43.0,1.9,HQ696462,65.2,50.0,80.0,,,90.0,40.0
Methanocaldococcus villosus,667126,KIN24-T80,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,,30.0,,FJ766848,64.4,55.0,80.0,,,90.0,35.0
Thermococcus onnurineus,342948,NA1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000018365.1,51.3,1.8,DQ167232,65.8,63.0,80.0,,,90.0,27.0
Acidianus manzaensis,282676,NA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_002116695.1,30.6,2.7,AB182498,61.4,60.0,80.0,,,90.0,30.0
Thermococcus profundus,49899,DT5432,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214585.1,53.1,2.0,Z75233,65.9,50.0,80.0,,,90.0,40.0
Caldicellulosiruptor changbaiensis,1222016,CBS-Z,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_003999255.1,35.1,2.9,JX280492,58.2,40.0,75.0,,,90.0,50.0
Pseudothermotoga hypogea,57487,SEBR 7054,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000816145.1,49.5,2.2,U89768,61.4,56.0,70.0,,,90.0,34.0
Sulfurisphaera javensis,2049879,KD-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,,30.6,,LC332080,64.3,60.0,82.5,80.0,85.0,90.0,30.0
Acidilobus saccharovorans,242703,345-15,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,GCA_000144915.1,57.2,1.5,AY350586,67.3,60.0,82.5,80.0,85.0,90.0,30.0
Zestosphaera tikiterensis,1973259,NZ3,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Zestosphaera,,41.9,,MH252993,65.1,60.0,82.5,82.0,83.0,90.0,30.0
Caldicellulosiruptor bescii,31899,Z-1320,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000022325.1,35.2,2.9,NR_074788,58.7,42.0,79.0,78.0,80.0,90.0,48.0
Fervidobacterium changbaicum,310769,CBS-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,31.9,,AY878719,61.1,55.0,77.5,75.0,80.0,90.0,35.0
Thermocrinis albus,136094,HI 11/12 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000025605.1,46.9,1.5,AJ278895,63.0,55.0,85.0,,,89.0,34.0
Vulcanisaeta souniana,164452,IC-059,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,,44.9,,AB063646,68.0,65.0,85.0,,,89.0,24.0
Methanocaldococcus infernus,67760,ME,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000092305.1,33.6,1.3,AF025822,64.5,49.0,85.0,,,89.0,40.0
Acidilobus sulfurireducens,411357,18D70,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,59.9,,EF057391,67.7,62.0,81.0,,,89.0,27.0
Thermocrinis ruber,75906,OC 1/4 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000512735.1,45.2,1.5,AJ005640,61.9,44.0,80.0,,,89.0,45.0
Methanocaldococcus vulcanius,73913,M7,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000024625.1,31.6,1.8,AF051404,63.7,49.0,80.0,,,89.0,40.0
Stygiolobus azoricus,41675,FC6,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus,GCA_009729035.1,37.6,2.0,X90480,64.5,57.0,80.0,,,89.0,32.0
Palaeococcus ferrophilus,83868,DMJ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,53.5,,AB019239,65.2,60.0,83.0,,,88.0,28.0
Thermotoga petrophila,93929,RKU-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000016785.1,46.1,1.8,AB027016,64.4,47.0,80.0,,,88.0,41.0
Thermococcus sibiricus,172049,MM739,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000022545.1,40.2,1.8,AJ238992,65.0,40.0,78.0,,,88.0,48.0
Fervidobacterium thailandense,1008305,FC2004,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,45.8,,KJ473436,61.9,60.0,79.0,78.0,80.0,88.0,28.0
Thermovibrio guaymasensis,240167,SL19,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,,46.0,,AY268937,63.8,50.0,77.5,75.0,80.0,88.0,38.0
Saccharolobus solfataricus,2287,NBRC 15331,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,GCA_900079115.1,35.8,3.0,X90478,63.4,50.0,85.0,,,87.0,37.0
Archaeoglobus lithotrophicus,138903,TF2,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,40.0,,AJ299218,64.1,55.0,80.0,,,87.0,32.0
Acidianus ambivalens,2283,Lei 10,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_009729015.1,34.2,2.3,D85506,63.7,70.0,80.0,,,87.0,17.0
